Číslo SME ;Provozovatel ;Adresa;Město ;PSČ;Telefon;e-mail;Kraj;ORP;Kategorie vozidel ;Druh stanice 
110301;Emitech s.r.o.;Koněvova 411/143;Praha;13000;704372631;emitech@email.cz;Hlavní město Praha;Hlavní město Praha;M1,M2,N1,N2;Vznětový motor,Zážehový motor
110302;E2F2 s.r.o.;Osiková 2688/2;Praha;13000;605339922;stk3130@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
110401;Tomáš Krejčí;Lipenská 616;Praha;14900;608238686;m.o.t.service@centrum.cz;Hlavní město Praha;Hlavní město Praha;M1;CNG,LPG,Vznětový motor,Zážehový motor
110501;Daimler Truck Česká republika s.r.o.;Bavorská 2666/16;Praha;15500;420 271 077 890;ota.kolmann@daimlertruck.com;Hlavní město Praha;Hlavní město Praha;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,Vznětový motor,Zážehový motor
110502;Autosprint Stodůlky s.r.o.;Jeremiášova 947/16;Praha;15500;774264790;autosprint.stodulky@gmail.com;Hlavní město Praha;Hlavní město Praha;C,M1,M2,N1,N2,T,Z;LPG,Vznětový motor,Zážehový motor
110503;AUTOTEST-EMISE MOTOL s.r.o.;Plzeňská 305/215e;Praha;15000;257216489;sen.k.trojan@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
110601;AUTO PAPOUŠEK s.r.o.;Reinerova 811/5;Praha;16300;608910916;recepce@papousek.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
110801;CZ MARTIN Oil s.r.o.;Bešťákova 567/3;Praha;18200;722003300;stk@stkpraha8.cz;Hlavní město Praha;Hlavní město Praha;C,M1,M2,N1,N2,T,Z;CNG,LPG,Vznětový motor,Zážehový motor
110802;Jan Holub;K Ládví 925;Praha;18000;604288244;autoholub@email.cz;Hlavní město Praha;Hlavní město Praha;M1,M2,M3,N1,N2,N3,T;CNG,LPG,Vznětový motor,Zážehový motor
110901;E2F2 s.r.o.;Kostelecká ul., parc.č.756/48,756/49,756/50,15788;Praha;19000;777277177;stk31.31@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
110902;Kademis s.r.o.;Stupská 9;Praha 9- Kyje;19000;703579000;kademis@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,M2,N1,N2;Vznětový motor,Zážehový motor
110903;Petr Bačák;Nad rybníkem 4;Praha;19012;777307370;petr.bacak@seznam.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
110904;Antonín Indra STK,spol. s r.o.;Chlumecká 765/6;Praha;19819;608579765;jan.lovas69@gmail.com;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
111001;Jan Melmer;Kutnohorská 312;Praha;10900;606864133;jan.melmer3@gmail.com;Hlavní město Praha;Hlavní město Praha;NULL;NULL
111002;AUTORECAR s.r.o.;Brigádníků 3067/6;Praha;10000;4,20721E+11;info@stkstrasnice.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;CNG,LPG,Vznětový motor,Zážehový motor
111003;AUTO BASE s.r.o.;K Hrušovu 292/4;Praha;10200;739453002;nemecek@autobase.cz;Hlavní město Praha;Hlavní město Praha;M1,N1;Vznětový motor,Zážehový motor
120101;DAVO CAR, s.r.o.;Olbramovice;Olbramovice 203;25901;601550943;emise@davocar.cz;Středočeský kraj;Votice;M1,M2,N1,N2;Vznětový motor,Zážehový motor
120301;Měření 3D spol. s r.o.;28. října 1503;Kladno;27309;603203106;pavel.petera@stk-kladno.cz;Středočeský kraj;Kladno;M1,N1;CNG,LNG,LPG,Vznětový motor,Zážehový motor
120401;Clever Cars s.r.o..;Nebovidy 157;Nebovidy;28002;777802488;autobazar@clevercars.cz;Středočeský kraj;Kolín;M1,N1;CNG,Vznětový motor,Zážehový motor
120402;STK Zásmuky s.r.o.;Na Pile 611;Zásmuky;28144;602317498;info@stkzasmuky.cz;Středočeský kraj;Kolín;C,M1,N1,T;CNG,LNG,LPG,Vznětový motor,Zážehový motor
120403;AUTO HÁJEK s.r.o.;Hlavní 250;Tuklaty;25082;4,20726E+11;hajek@autocentrumhajek.cz;Středočeský kraj;Český Brod;C,M1,M2,M3,N1,N2,N3,T,Z;CNG,LPG,Vznětový motor,Zážehový motor
120404;Vladimír Coubal;Zengrova 131;Kolín;28002;777995182;coubalv@seznam.cz;Středočeský kraj;Kolín;M1,N1;CNG,LPG,Zážehový motor
120501;Jaroslav Mašín;Dobřeň 26;Suchdol;28401;776852928;info@automasin.cz;Středočeský kraj;Kutná Hora;C,M1,M2,N1,N2,T;Vznětový motor,Zážehový motor
120502;U N I K O M, a.s.;Hrnčířská 214;Kutná Hora;28401;606814843;hurych@unikom.cz;Středočeský kraj;Kutná Hora;C,M1,N1,T,Z;Vznětový motor,Zážehový motor
120901;Petr Kajuk;V Zahradách 181;Struhařov;25164;777088580;petrkajuk@seznam.cz;Středočeský kraj;Říčany;M1,N1;Vznětový motor,Zážehový motor
